No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,vhs effect,Informational,2400,4.31,2,21
2,vhs filter,Transactional,2900,2.67,3,21
3,vhs video effect,"Informational, Transactional",2400,4.31,2,32
4,add vhs effect to video,Informational,50,4.94,10,17
5,vhs filter online free,-,10,0,1,5
6,vhs video maker,Transactional,170,0,2,27
7,vhs style video,-,20,0,1,14
8,vhs look video,-,0,0,1,12
9,vhs filter app,"Transactional, Informational",30,0.97,3,30
10,vhs filter website,-,10,0,1,13
11,free vhs filter online,-,0,0,1,4
12,vhs effect no download,-,0,0,1,4
13,vhs effect no watermark,-,0,0,1,4
14,vhs video generator online,-,0,0,1,4
15,convert video to vhs style,-,0,0,1,4
16,make video look like vhs,Informational,40,1.285,7,22
17,add vhs look to video,-,0,0,1,4
18,vhs camcorder effect online,-,10,0,1,5
19,vhs cam filter online,-,0,0,1,4
20,retro vhs filter free,-,0,0,1,4
21,vintage vhs effect video,-,0,0,1,4
22,vhs filter for tiktok video,-,0,0,1,4
23,vhs filter for reels,-,0,0,1,4
24,vhs filter for youtube,-,0,0,1,4
25,add vhs filter online free,-,0,0,1,4
26,vhs video effect generator,-,0,0,1,4
27,vhs static effect video,-,0,0,1,4
28,vhs tracking effect video,-,0,0,1,4
29,vhs glitch filter online,-,0,0,1,4
30,vhs scan lines filter,-,0,0,1,4
31,add scan lines to video,-,0,0,1,4
32,add tracking lines to video,-,0,0,1,4
33,vhs chromatic aberration effect,-,0,0,1,4
34,vhs color bleed effect,-,0,0,1,4
35,90s vhs filter online,-,0,0,1,4
36,80s vhs filter video,-,0,0,1,4
37,old vhs tape effect,-,10,0,2,6
38,vhs tape look video,-,0,0,1,4
39,retro camcorder filter online,-,0,0,1,4
40,old camcorder effect online,-,0,0,1,4
41,analog vhs effect online,-,0,0,1,4
42,vhs aesthetic filter,Transactional,40,0,6,23
43,vhs nostalgia filter video,-,0,0,1,4
44,vhs filter for music video,-,0,0,1,4
45,vhs filter for wedding video,-,0,0,1,4
46,vhs filter for home video,-,0,0,1,4
47,vhs filter mac,-,0,0,1,12
48,vhs filter windows,-,0,0,1,12
49,vhs filter browser,-,0,0,1,12
50,vhs effect online tool,-,0,0,1,4
