No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,video filter,Transactional,1600,2.91,30,55
2,video filters,"Informational, Transactional",1300,4.06,28,40
3,video effects,"Informational, Transactional",1600,6.31,16,38
4,add filter to video,Informational,140,3.47,37,46
5,add effects to video,Informational,170,3.16,21,30
6,video filter online,-,110,4.195,5,15
7,video effects online,"Informational, Commercial",170,2.28,7,42
8,free video filter,"Commercial, Transactional, Navigational",140,3.47,53,62
9,video filter app,Transactional,390,5.55,49,31
10,video filter website,-,10,0,3,14
11,video filter online free,"Navigational, Commercial",70,2.33,13,53
12,free video filter no watermark,-,0,0,1,4
13,video effects no download,-,10,0,1,5
14,video filter no sign up,-,0,0,1,4
15,add video filter online free,-,0,0,1,4
16,video filter for tiktok,-,0,0,1,4
17,video filter for reels,-,0,0,1,4
18,video filter for youtube shorts,-,0,0,1,4
19,video filter for instagram,-,1000,3.345,1,5
20,video effects for tiktok,-,10,0,1,5
21,video filter for iphone,"Informational, Transactional",260,4.58,33,40
22,video filter mac,-,10,0,40,26
23,video filter windows,-,10,0,1,13
24,video filter online browser,-,0,0,1,4
25,video filter for android,-,10,0,1,5
26,vhs filter,Transactional,2900,2.67,3,21
27,pencil sketch video filter,-,0,0,1,4
28,pencil sketch effect video,-,0,0,1,4
29,cartoon filter video,"Informational, Commercial",90,2.18,22,36
30,sketch filter video,-,0,0,1,12
31,black and white video filter,-,20,0,1,5
32,sepia video filter,-,10,0,1,13
33,vintage video filter,"Informational, Transactional",140,1.44,9,34
34,glitch video filter,-,10,0,1,13
35,film grain video filter,-,0,0,1,4
36,old film effect video,-,20,0,4,7
37,anime filter video,-,10,0,1,13
38,cinematic filter video,-,10,0,1,13
39,grayscale video filter,-,0,0,1,12
40,noir video filter,-,0,0,1,12
41,make video look like pencil drawing,-,0,0,1,4
42,turn video into sketch,-,10,0,34,16
43,make video look vintage,-,20,1.61,40,18
44,make video black and white,Informational,140,5.42,6,19
45,add grain to video,Informational,40,1.37,28,29
46,convert video to cartoon style,Informational,40,0,1,22
47,make video look like film,Informational,30,3.11,19,35
48,add cinematic look to video,-,0,0,1,4
49,apply filter to video online free,-,0,0,1,4
50,best free video filter tool,-,0,0,1,4
